               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,           0.0094195,           0.0046555,                   0,             0.96059,              0.8905,              0.9572,             0.79264,            0.010944,           0.0047693,                   0,            0.002674,            0.002674,            0.002674
                  39,           0.0091128,           0.0045878,                   0,             0.92843,             0.92562,             0.95535,             0.80034,            0.010643,           0.0047533,                   0,            0.002476,            0.002476,            0.002476
                  40,           0.0092597,           0.0045305,                   0,             0.95472,             0.91483,             0.95958,             0.79925,             0.01072,           0.0045984,                   0,            0.002278,            0.002278,            0.002278
                  41,           0.0088325,           0.0045304,                   0,             0.94274,             0.91838,             0.95576,             0.80816,            0.010705,           0.0045606,                   0,             0.00208,             0.00208,             0.00208
                  42,           0.0086943,           0.0043812,                   0,             0.95805,             0.89659,             0.95217,             0.79418,            0.010869,           0.0047501,                   0,            0.001882,            0.001882,            0.001882
                  43,           0.0086836,            0.004489,                   0,             0.95877,             0.91297,             0.95803,             0.79622,            0.010873,           0.0046056,                   0,            0.001684,            0.001684,            0.001684
                  44,           0.0086779,           0.0046358,                   0,             0.96446,             0.89713,             0.95741,             0.79593,            0.010709,           0.0046412,                   0,            0.001486,            0.001486,            0.001486
                  45,           0.0089977,           0.0045084,                   0,             0.96678,             0.90207,             0.95637,             0.80591,            0.010529,           0.0045847,                   0,            0.001288,            0.001288,            0.001288
                  46,           0.0086343,           0.0044786,                   0,             0.95315,             0.90909,             0.96055,             0.80293,            0.010453,           0.0046051,                   0,             0.00109,             0.00109,             0.00109
                  47,           0.0092021,           0.0047491,                   0,             0.97517,             0.89241,             0.96345,             0.80693,            0.010673,           0.0044833,                   0,            0.000892,            0.000892,            0.000892
                  48,           0.0088091,            0.004497,                   0,             0.97626,              0.8905,             0.96028,             0.80882,            0.010548,           0.0045367,                   0,            0.000694,            0.000694,            0.000694
                  49,           0.0088092,           0.0046241,                   0,             0.97657,             0.88843,             0.95878,             0.80738,            0.010592,            0.004542,                   0,            0.000496,            0.000496,            0.000496
